id,sku,marca,descripcion,variantes,costo,categoria,imagen
311,PROD-0033,Mae,MAE COLORES LARGOS C/12 CM-12L,NULL,$79.98,Arte,/Imagenes_Catalogo/Mae/Lapices/A1011.webp
312,PROD-0034,Mae,MAE COLORES PASTELES CAJA CON 12 PZAS L 4 MM,NULL,$113.46,Arte,/Imagenes_Catalogo/Mae/Lapices/A1012.webp
313,PROD-0035,Mae,MAE COLORES PREMIUM C/24,NULL,$208.32,Arte,/Imagenes_Catalogo/Mae/Lapices/A1013.webp
314,PROD-0036,Mae,MAE LAPIZ CHECADOR AZUL RCM-10A,NULL,$8.37,Escritura,/Imagenes_Catalogo/Mae/Lapices/A1014.webp
315,PROD-0037,Mae,MAE LAPIZ CHECADOR ROJO C/10 RCM-10,NULL,$83.70,Escritura,/Imagenes_Catalogo/Mae/Lapices/A1015.webp
316,PROD-0038,Mae,MAE LAPIZ CHECADOR VERDE RCM-10V,NULL,$8.37,Escritura,/Imagenes_Catalogo/Mae/Lapices/A1016.webp
317,PROD-0039,Mae,MAE SACAPUNTAS DEPÓSITO RECT METALICO SMD-1C,VARIOS COLORES,$19.53,Escritura,/Imagenes_Catalogo/Mae/Sacapuntas/A1101.webp
318,PROD-0040,Mae,MAE SACAPUNTAS DEPÓSITO RECT PLASTICO SPD-1CH,VARIOS COLORES,$9.30,Escritura,/Imagenes_Catalogo/Mae/Sacapuntas/A1102.webp
319,PROD-0041,Mae,MAE SACAPUNTAS DOBLE CON DEPOSITO PLASTICO SPD-2G,VARIOS COLORES,$14.88,Escritura,/Imagenes_Catalogo/Mae/Sacapuntas/A1103.webp
320,PROD-0042,Mae,MAE SACAPUNTAS METÁLICO SENCILLO SMT-24,NULL,$5.58,Escritura,/Imagenes_Catalogo/Mae/Sacapuntas/A1104.webp
321,PROD-0043,Mae,MAE SOBRE DE PLASTICO CON HILO CARTA,"VERTICAL, HORIZONTAL; SURTIDO, PASTELES, SOLIDOS",$93.00,Folders,/Imagenes_Catalogo/Mae/Sobres/A1201.webp
322,PROD-0044,Mae,MAE SOBRE DE PLASTICO CON HILO OFICIO,"VERTICAL, HORIZONTAL; SURTIDO, PASTELES, SOLIDOS",$24.18,Folders,/Imagenes_Catalogo/Mae/Sobres/A1202.webp
323,PROD-0045,Mae,MAE TIJERA ESCOLAR 4'' MT-4,NULL,$26.04,Tijeras,/Imagenes_Catalogo/Mae/Tijeras/A1301.webp
324,PROD-0046,Mae,MAE TIJERA 5'' MAE MT-5R,"NORMAL, ZURDA",$22.32,Tijeras,/Imagenes_Catalogo/Mae/Tijeras/A1302.webp
325,PROD-0047,Artline,ARTLINE ACUARELAS CON 12 PASTILLAS AA12P,NULL,$55.80,Arte,/Imagenes_Catalogo/Artline/Acuarelas/B0201.webp
326,PROD-0048,Artline,ARTLINE ACUARELAS CON 8 AA8P,NULL,$39.06,Arte,/Imagenes_Catalogo/Artline/Acuarelas/B0202.webp
327,PROD-0049,Artline,ARTLINE BORRADOR MAGNETICO GRANDE,NULL,$31.62,Borradores,/Imagenes_Catalogo/Artline/Borrador Pintarron/B0301.webp
328,PROD-0050,Artline,ARTLINE BORRADOR MAGNETICO CHICO,NULL,$25.11,Borradores,/Imagenes_Catalogo/Artline/Borrador Pintarron/B0302.webp
329,PROD-0051,Artline,ARTLINE AINK CLIP #2,NULL,$22.32,Oficina,/Imagenes_Catalogo/Artline/Clips/B0401.webp
330,PROD-0052,Artline,ARTLINE AINK CLIP #1,NULL,$20.46,Oficina,/Imagenes_Catalogo/Artline/Clips/B0402.webp
331,PROD-0053,Artline,ARTLINE CORRECTOR DUO DE 15 ML,NULL,$30.69,Escritura,/Imagenes_Catalogo/Artline/Correctores/B0501.webp
332,PROD-0054,Artline,ARTLINE CORRECTOR TIPO PLUMA AINK,NULL,$20.46,Escritura,/Imagenes_Catalogo/Artline/Correctores/B0502.webp
333,PROD-0055,Artline,ARTLINE CORRECTOR BROCHA AINK ACB12,NULL,$12.09,Escritura,/Imagenes_Catalogo/Artline/Correctores/B0503.webp
334,PROD-0056,Artline,ARTLINE CORRECTOR EN CINTA AINK CCI8BL,NULL,$26.04,Escritura,/Imagenes_Catalogo/Artline/Correctores/B0504.webp
335,PROD-0057,Artline,ARTLINE MARCADOR AINK AGUA GRUESO,"AZUL, NEGRO, ROJO ",$13.95,Marcadores,/Imagenes_Catalogo/Artline/Marcador de Agua/B0601.webp
336,PROD-0058,Artline,ARTLINE ESTUCHE MARCADOR AGUA C/12 SURTIDO AMAC12E,NULL,$167.40,Marcadores,/Imagenes_Catalogo/Artline/Marcador de Agua/B0602.webp
337,PROD-0059,Artline,ARTLINE AINK MARCADOR CERA,"ROJO, AZUL, VERDE, BLANCO, AMARILLO, NEGRO",$15.81,Marcadores,/Imagenes_Catalogo/Artline/Marcador de Cera/B0701.webp
338,PROD-0060,Artline,ARTLINE MARCADOR PERMANENTE 109,"ROJO, NEGRO, AZUL, VERDE",$22.32,Marcadores,/Imagenes_Catalogo/Artline/Marcador Permanente/B0801.webp
339,PROD-0061,Artline,ARTLINE AINK MARCADOR PINTARRON,"ROJO, NEGRO, AZUL, VERDE",$13.02,Marcadores,/Imagenes_Catalogo/Artline/Marcador Pintarron/B0901.webp
340,PROD-0062,Artline,ARTLINE MARCATEXTOS AINK PASTELES C/6 AHB6P,CAJA CON 6 COLORES SURTIDOS,$87.42,Marcadores,/Imagenes_Catalogo/Artline/Marcatextos/B1001.webp
341,PROD-0063,Artline,ARTLINE AINK MARCATEXTOS PUNTA CINCEL,"AMARILLO, NARANJA, VERDE, ROSA, AZUL",$10.23,Marcadores,/Imagenes_Catalogo/Artline/Marcatextos/B1002.webp
